case_id,short_name,business_domain,situation_description,assumed_documents,main_skill,local_fact_change,expected_decision_change,example_expected_change_questions,example_expected_invariant_questions,assumed_answer_types,difficulty,delta_from_existing_10,gold_ambiguity_risk,answer_leakage_risk,causal_mechanism,nearest_existing_case,similarity_reason,independence_score,redesign_required,external_law_required,normative_source_included,gold_from_docs_only
procure_021,Single-source justification,procurement and compliance,"Procurement file with comparison memo, sole-source justification, price quote, and compliance checklist that is incomplete.",comparison_memo,sole_source_justification,price_quote,compliance_checklist,approval_sheet,missing_information_reasoning,One mandatory comparator is absent,Procurement approval changes or becomes unsupported,Is sole-source approval justified?; Is the file complete?; Is a missing comparator required?,What vendor is selected?; What is the purchase category?; What is the quote date?,yes_no;enum;missing,missing evidence,procurement_002,"The decision is blocked by incomplete justification, not by a standard approval-chain flip",5,yes,yes,sole-source policy and comparator checklist included,no
procure_022,Conflicted vendor certifications,procurement and compliance,"Vendor submission, anti-bribery certificate, registry extract, and due-diligence note contain a direct mismatch.",vendor_submission,certificate,registry_extract,due_diligence_note,approval_sheet,contradiction_resolution,Certificate and registry disagree on compliance status,Vendor eligibility flips,Is the vendor eligible?; Which document prevails?; Is the certificate valid?,What is the vendor name?; What is the procurement date?; What category is purchased?,yes_no;enum;evidence_link,document hierarchy,procurement_002,This is a document hierarchy / conflict case rather than a routine approval question,5,yes,yes,vendor due-diligence rule included,yes
it_023,SLA penalty waiver,IT / SLA,"Managed service agreement, outage report, support ticket, and service-credit worksheet where waiver depends on timely reporting.",msa,outage_report,support_ticket,service_credit_sheet,waiver_clause,timing_plus_clause_precedence,Report submission crosses the waiver deadline,Penalty or credit eligibility flips,Is a service credit owed?; Is waiver effective?; What is the deadline?,What service is affected?; What is the outage duration?; Who reported it?,amount;yes_no;enum,exception or waiver,sla_008,This adds waiver logic under a service-credit clause rather than an SLA reporting summary,4,yes,no,internal SLA credit policy included,yes
it_024,Escalation path breach,IT / SLA,"Incident ticket, escalation log, SLA schedule, and operator notes where the incident is routed to the wrong tier before the clock stops.",incident_ticket,escalation_log,sla_schedule,operator_notes,customer_notice,process_compliance,Escalation goes to the wrong tier before the SLA pause condition,Breach finding flips,Was escalation compliant?; Did the SLA clock stop?; Which tier was required?,What is the incident ID?; What system failed?; Who opened the ticket?,yes_no;enum;date,document hierarchy,approval_chain_009,"The new mechanism is SLA routing correctness, not access approval path or authority",4,yes,no,internal escalation matrix included,yes
property_025,Lease renewal option window,lease property and guarantees,"Lease, notice letter, delivery proof, and internal memo determining whether the renewal option was exercised on time.",lease_agreement,notice_letter,delivery_proof,internal_memo,renewal_register,temporal_option_window,Notice window moves one business day earlier in B,Renewal right exercises or lapses,Was the option exercised in time?; What is the last valid notice date?; Does renewal continue?,What is the premises address?; Who is the tenant?; What is the lease term?,yes_no;date;enum,temporal trigger,notice_005,"The timing controls an option exercise under lease law, not automatic renewal notice alone",5,yes,yes,lease notice window excerpt included,yes
property_026,Security deposit offset,lease property and guarantees,"Lease, repair act, invoice, and offset notice where the deposit may be used only after one signed act exists.",lease_agreement,repair_act,invoice,offset_notice,deposit_schedule,conditional_offset,Repair act is signed or missing in B,Offset right or remaining deposit flips,May the landlord offset?; What deposit remains?; Is a signed repair act required?,What is the lease start date?; What is the tenant name?; What is the repair amount?,amount;yes_no;enum,exception or waiver,amendment_007,"This is a conditional offset against deposit, not a pricing amendment or invoice change",4,no,no,lease guarantee clause included,yes
shipping_027,Freight liability transfer,supply and logistics,"Freight contract, bill of lading, pickup note, and damage report assessing when liability shifts.",freight_contract,bill_of_lading,pickup_note,damage_report,claim_notice,liability_allocation,Risk transfer occurs at loading vs unloading depending on clause,Liability for damage flips,Is the carrier liable?; When does risk transfer?; Is the claim timely?,What is the route?; Who shipped the goods?; What is the damage date?,yes_no;date;enum,identity or asset linkage,acceptance_004,"The new mechanism is risk-transfer allocation along a transport chain, not acceptance completion",4,no,yes,Incoterms-style risk clause excerpt included,yes
finance_028,Advance report substantiation,finance and calculations,"Advance report, receipt bundle, approval sheet, and finance memo where one receipt lacks required substantiation.",advance_report,receipt_bundle,approval_sheet,finance_memo,reimbursement_policy,evidence_sufficiency,One receipt loses substantiation in B,Reimbursable amount flips,Is the receipt reimbursable?; What amount is approved?; Is substantiation complete?,What is the employee name?; What is the trip purpose?; What is the report date?,amount;yes_no;enum,missing evidence,trip_001,"Evidence sufficiency is the driver, but the case remains within finance rather than route logic",4,no,no,internal reimbursement policy included,yes
infosec_029,Privileged account emergency use,privacy and infosec,"Privileged access policy, emergency approval, access log, and post-incident review for a temporary admin session.",access_policy,emergency_approval,access_log,post_incident_review,account_registry,access_time_condition,Emergency access expires sooner in B,Access validity or incident finding flips,Was emergency access valid?; What is the expiry time?; Was the use logged?,What system was accessed?; Who approved the access?; What was the emergency reason?,yes_no;enum;date,temporal trigger,approval_chain_009,"The question is about emergency expiry on privileged access, not standard approval chain validity",5,yes,yes,privileged access policy excerpt included,yes
hr_030,Exit checklist completion,HR access and authority,"Exit checklist, asset return form, access deactivation log, and HR closure note where one required return item is absent.",exit_checklist,asset_return_form,access_deactivation_log,hr_closure_note,property_receipt,completion_missing_info,One required return item is missing in B,Exit completion or clearance status flips,Is the exit complete?; Is clearance blocked?; What item is missing?,What is the employee role?; What is the last working day?; Who signed the checklist?,yes_no;enum;missing,chain completion,approval_chain_009,"The new mechanism is offboarding completion, not access approval or delegation",4,no,no,HR exit checklist included,yes
