case_id,total_rows,batched_answer_accuracy,independent_strict_answer_accuracy,delta_answer_accuracy,independent_format_failure_rate,batched_evidence_f1,independent_strict_evidence_f1,batched_decision_accuracy,independent_strict_decision_accuracy,batched_format_success_rate,independent_format_success_rate,batched_ab_flip_strict_numerator,batched_ab_flip_strict_denominator,batched_ab_flip_strict_score,batched_ab_flip_valid_numerator,batched_ab_flip_valid_denominator,batched_ab_flip_valid_score,independent_ab_flip_strict_numerator,independent_ab_flip_strict_denominator,independent_ab_flip_strict_score,independent_ab_flip_valid_numerator,independent_ab_flip_valid_denominator,independent_ab_flip_valid_score,batched_ab_invariant_strict_numerator,batched_ab_invariant_strict_denominator,batched_ab_invariant_strict_score,batched_ab_invariant_valid_numerator,batched_ab_invariant_valid_denominator,batched_ab_invariant_valid_score,independent_ab_invariant_strict_numerator,independent_ab_invariant_strict_denominator,independent_ab_invariant_strict_score,independent_ab_invariant_valid_numerator,independent_ab_invariant_valid_denominator,independent_ab_invariant_valid_score,batched_ac_nuisance_flip_strict_numerator,batched_ac_nuisance_flip_strict_denominator,batched_ac_nuisance_flip_strict_score,batched_ac_nuisance_flip_valid_numerator,batched_ac_nuisance_flip_valid_denominator,batched_ac_nuisance_flip_valid_score,independent_ac_nuisance_flip_strict_numerator,independent_ac_nuisance_flip_strict_denominator,independent_ac_nuisance_flip_strict_score,independent_ac_nuisance_flip_valid_numerator,independent_ac_nuisance_flip_valid_denominator,independent_ac_nuisance_flip_valid_score,batched_ac_causal_invariant_strict_numerator,batched_ac_causal_invariant_strict_denominator,batched_ac_causal_invariant_strict_score,batched_ac_causal_invariant_valid_numerator,batched_ac_causal_invariant_valid_denominator,batched_ac_causal_invariant_valid_score,independent_ac_causal_invariant_strict_numerator,independent_ac_causal_invariant_strict_denominator,independent_ac_causal_invariant_strict_score,independent_ac_causal_invariant_valid_numerator,independent_ac_causal_invariant_valid_denominator,independent_ac_causal_invariant_valid_score
hr_030,42,0.8333333333333334,0.3333333333333333,0.5,0.2857142857142857,0.7857142857142857,0.5,0.9047619047619048,0.42857142857142855,1.0,0.7142857142857143,4.0,5.0,0.8,4.0,5.0,0.8,1.0,5.0,0.2,1.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
infosec_029,42,0.7619047619047619,0.35714285714285715,0.4047619047619047,0.2857142857142857,0.9285714285714286,0.5388888888888888,0.9523809523809523,0.42857142857142855,1.0,0.7142857142857143,5.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,0.4,2.0,2.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,5.0,11.0,0.45454545454545453,5.0,5.0,1.0
iplic_015,42,0.9047619047619048,0.42857142857142855,0.4761904761904762,0.2619047619047619,0.9285714285714286,0.4920634920634921,0.9523809523809523,0.47619047619047616,1.0,0.7380952380952381,5.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,0.4,2.0,2.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,5.0,11.0,0.45454545454545453,5.0,5.0,1.0
iplic_016,42,0.5,0.0,0.5,0.14285714285714285,0.0,0.0,0.7380952380952381,0.23809523809523808,1.0,0.8571428571428571,3.0,4.0,0.75,3.0,4.0,0.75,0.0,4.0,0.0,0.0,0.0,0.0,7.0,10.0,0.7,7.0,10.0,0.7,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,12.0,0.75,9.0,12.0,0.75,0.0,12.0,0.0,0.0,0.0,0.0
it_023,42,0.8333333333333334,0.35714285714285715,0.4761904761904762,0.2857142857142857,0.8333333333333334,0.4761904761904761,0.9523809523809523,0.42857142857142855,1.0,0.7142857142857143,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.2,1.0,2.0,0.5,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
it_024,42,0.9047619047619048,0.38095238095238093,0.5238095238095238,0.3333333333333333,0.9285714285714286,0.5111111111111112,0.9047619047619048,0.42857142857142855,1.0,0.6666666666666666,5.0,5.0,1.0,5.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,9.0,9.0,1.0,4.0,9.0,0.4444444444444444,4.0,5.0,0.8,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,3.0,11.0,0.2727272727272727,3.0,4.0,0.75
logistics_013,42,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.9285714285714286,0.4801587301587301,0.8571428571428571,0.42857142857142855,1.0,0.7142857142857143,4.0,5.0,0.8,4.0,5.0,0.8,1.0,5.0,0.2,1.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
logistics_014,42,0.6904761904761905,0.0,0.6904761904761905,0.07142857142857142,0.0,0.0,0.7142857142857143,0.5476190476190477,1.0,0.9285714285714286,5.0,7.0,0.7142857142857143,5.0,7.0,0.7142857142857143,0.0,7.0,0.0,0.0,0.0,0.0,6.0,7.0,0.8571428571428571,6.0,7.0,0.8571428571428571,0.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,0.75,6.0,8.0,0.75,0.0,8.0,0.0,0.0,0.0,0.0
notice_005,32,0.46875,0.1875,0.28125,0.0625,0.7050595238095239,0.411904761904762,0.6,0.7,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
privacy_017,42,0.7619047619047619,0.0,0.7619047619047619,0.07142857142857142,0.0,0.0,0.6190476190476191,0.30952380952380953,1.0,0.9285714285714286,2.0,4.0,0.5,2.0,4.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,8.0,10.0,0.8,8.0,10.0,0.8,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,9.0,12.0,0.75,9.0,12.0,0.75,0.0,12.0,0.0,0.0,0.0,0.0
privacy_018,42,0.7619047619047619,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.9047619047619048,0.5031746031746032,0.9523809523809523,0.42857142857142855,1.0,0.6666666666666666,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.2,1.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,10.0,11.0,0.9090909090909091,10.0,11.0,0.9090909090909091,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
procure_021,42,0.7857142857142857,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.8730158730158729,0.5000000000000001,0.8095238095238095,0.3333333333333333,1.0,0.7857142857142857,4.0,5.0,0.8,4.0,5.0,0.8,2.0,5.0,0.4,2.0,2.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,5.0,11.0,0.45454545454545453,5.0,5.0,1.0
procure_022,42,0.5952380952380952,0.0,0.5952380952380952,0.07142857142857142,0.0,0.0,0.7142857142857143,0.4523809523809524,1.0,0.9285714285714286,1.0,4.0,0.25,1.0,4.0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,8.0,10.0,0.8,8.0,10.0,0.8,0.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,8.0,12.0,0.6666666666666666,8.0,12.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0
procurement_002,30,0.7333333333333333,0.36666666666666664,0.36666666666666664,0.06666666666666667,0.5832804232804232,0.6511111111111112,0.6875,0.4375,1.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
property_025,42,0.9047619047619048,0.35714285714285715,0.5476190476190477,0.35714285714285715,0.9285714285714286,0.488095238095238,0.9523809523809523,0.42857142857142855,1.0,0.6428571428571429,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.2,1.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,4.0,9.0,0.4444444444444444,4.0,5.0,0.8,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,3.0,11.0,0.2727272727272727,3.0,4.0,0.75
property_026,42,0.9047619047619048,0.4523809523809524,0.4523809523809524,0.23809523809523808,0.8571428571428571,0.5468253968253968,0.9523809523809523,0.5238095238095238,1.0,0.7619047619047619,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.2,1.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
reconciliation_006,32,0.84375,0.3125,0.53125,0.0625,0.2818452380952381,0.5039434523809524,0.6666666666666666,0.9444444444444444,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shipping_027,42,0.8333333333333334,0.42857142857142855,0.4047619047619048,0.23809523809523808,0.9285714285714286,0.5079365079365079,0.8095238095238095,0.38095238095238093,1.0,0.7619047619047619,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.2,1.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
sla_008,32,0.5625,0.25,0.3125,0.25,0.8333333333333334,0.42839781746031746,0.7142857142857143,0.2857142857142857,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trip_001,34,0.7058823529411765,0.11764705882352941,0.5882352941176471,0.35294117647058826,0.5512605042016807,0.2599439775910365,0.7727272727272727,0.6818181818181818,1.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
